,,Plant?,Monocot?
>Drosophila_melanogaster,6,0,0
>Cricetulus_griseus,7,0,0
>Bombyx_mori,22,0,0
>Ctenopharyngodon_idella,22,0,0
>sorex_araneus,28,0,0
>Bombyx_mandarina,28,0,0
>felis_catus,34,0,0
>felis_silvestris,34,0,0
>Drosophila_albomicans,36,0,0
>loxodonta_africana,38,0,0
>Leptonychotus_weddellii,38,0,0
>ricinus_communis,40,1,0
>Gallus_gallus,43,0,
>Clonorchis_sinensis,46,,
>Heterocephalus_glaber,46,,
>dipodomys_ordii,51,,
>oesophagostomum_dentatum,53,,
>Castanopsis_indica,53,,
>microcebus_murinus,54,,
>tursiops_truncatus,54,,
>xenopus_tropicalis,56,,
>ornithorhynchus_anatinus,57,,
>Branta_leucopsis,58,,
>Pogonomyrmex_barbatus,58,,
>Mus_musculus_castaneus,59,,
>Mus_musculus,59,,
>Mus_famulus,60,,
>Caenorhabditis_elegans,60,,
>Echinococcus_multilocularis,61,,
>Mus_caroli,61,,
>brugia_malayi,63,,
>echinops_telfairi,63,,
>otolemus_garnettii,63,,
>Perdix_perdix,63,,
>latimeria_chalumnae,64,,
>Lemna_gibba,65,,
>Zostera_marina,66,,
>erinanceus_europaeus,67,,
>ascaris_lumbricoides,68,,
>Manihot_esculenta,68,,
>drosophila_ananassae,69,,
>physcomitrella_patens,73,,
>biomphalaria_glabrata,79,,
>volvox_carteri,79,,
>micromonas_pusilla,82,,
>cavia_porcellus,85,,
>drosophila_pseudoobscura,85,,
>macropus_eugenii,85,,
>monodelphis_domestica,85,,
>pteropus_vampyrus,85,,
>anolis_carolinensis,88,,
>Boechera_holboellii,88,,
>trichuris_muris,90,,
>tarsius_syrichta,92,,
>drosophila_willistoni,93,,
>glycine_max,93,,
>Glycine_soja,93,,
>anopheles_gambiae,94,,
>anopheles_gambiae_M,94,,
>anopheles_gambiae_S,94,,
>rattus_norvegicus,94,,
>ixodes_scapularis,96,,
>lemus_catta,96,,
>polychrus_marmoratus,101,,
>Cajanus_cajan,101,,
>Echinococcus_granulosus,103,,
>pediculus_humanus,107,,
>vitis_vinifera,108,,
>Drosophila_eugracilis,108,,
>nasonia_vitripennis,109,,
