"","setdiff(Orig$V1, remain$V1)"
"1","testassemblies0"
"2","testassemblies1"
"3","testassemblies2"
"4","testassemblies3"
"5","testassemblies4"
"6","testassemblies5"
"7","testassemblies6"
"8","testassemblies7"
"9","testassemblies8"
"10","testassemblies9"
"11","testassemblies10"
"12","testassemblies12"
"13","testassemblies14"
"14","testassemblies15"
"15","testassemblies19"
"16","testassemblies20"
"17","testassemblies26"
"18","testassemblies27"
"19","testassemblies28"
"20","testassemblies29"
"21","testassemblies30"
"22","testassemblies32"
"23","testassemblies34"
"24","testassemblies35"
"25","testassemblies36"
"26","testassemblies37"
"27","testassemblies38"
"28","testassemblies46"
"29","testassemblies47"
"30","testassemblies48"
"31","testassemblies57"
"32","testassemblies59"
"33","testassemblies60"
"34","testassemblies67"
"35","testassemblies68"
"36","testassemblies69"
"37","testassemblies71"
"38","testassemblies74"
"39","testassemblies80"
"40","testassemblies81"
"41","testassemblies84"
"42","testassemblies85"
"43","testassemblies86"
"44","testassemblies87"
"45","testassemblies101"
"46","testassemblies102"
"47","testassemblies103"
"48","testassemblies118"
"49","testassemblies119"
"50","testassemblies126"
"51","testassemblies136"
"52","testassemblies149"
"53","testassemblies176"
"54","testassemblies177"
"55","testassemblies192"
"56","testassemblies195"
"57","testassemblies196"
"58","testassemblies218"
"59","testassemblies219"
"60","testassemblies223"
"61","testassemblies224"
"62","testassemblies225"
"63","testassemblies227"
"64","testassemblies228"
"65","testassemblies231"
"66","testassemblies232"
"67","testassemblies233"
"68","testassemblies240"
"69","testassemblies244"
"70","testassemblies245"
"71","testassemblies248"
"72","testassemblies249"
"73","testassemblies256"
"74","testassemblies260"
"75","testassemblies261"
"76","testassemblies264"
"77","testassemblies266"
"78","testassemblies267"
"79","testassemblies268"
"80","testassemblies269"
"81","testassemblies270"
"82","testassemblies271"
"83","testassemblies272"
"84","testassemblies273"
"85","testassemblies277"
"86","testassemblies278"
"87","testassemblies282"
"88","testassemblies298"
"89","testassemblies306"
"90","testassemblies307"
"91","testassemblies322"
"92","testassemblies325"
"93","testassemblies330"
"94","testassemblies349"
"95","testassemblies350"
"96","testassemblies359"
"97","testassemblies360"
"98","testassemblies388"
"99","testassemblies389"
"100","testassemblies390"
"101","testassemblies391"
"102","testassemblies425"
"103","testassemblies426"
"104","testassemblies427"
"105","testassemblies429"
"106","testassemblies472"
"107","testassemblies478"
"108","testassemblies490"
"109","testassemblies491"
"110","testassemblies506"
"111","testassemblies508"
"112","testassemblies509"
"113","testassemblies511"
"114","testassemblies512"
"115","testassemblies513"
"116","testassemblies514"
"117","testassemblies515"
"118","testassemblies516"
"119","testassemblies517"
"120","testassemblies518"
"121","testassemblies519"
"122","testassemblies522"
"123","testassemblies523"
"124","testassemblies524"
"125","testassemblies525"
"126","testassemblies528"
"127","testassemblies529"
"128","testassemblies533"
"129","testassemblies534"
