"","setdiff(Orig$V1, remain$V1)"
"1","testassemblies0"
"2","testassemblies1"
"3","testassemblies2"
"4","testassemblies3"
"5","testassemblies4"
"6","testassemblies5"
"7","testassemblies6"
"8","testassemblies7"
"9","testassemblies8"
"10","testassemblies9"
"11","testassemblies10"
"12","testassemblies11"
"13","testassemblies12"
"14","testassemblies13"
"15","testassemblies14"
"16","testassemblies15"
"17","testassemblies16"
"18","testassemblies17"
"19","testassemblies18"
"20","testassemblies19"
"21","testassemblies20"
"22","testassemblies21"
"23","testassemblies22"
"24","testassemblies23"
"25","testassemblies24"
"26","testassemblies25"
"27","testassemblies26"
"28","testassemblies27"
"29","testassemblies28"
"30","testassemblies29"
"31","testassemblies30"
"32","testassemblies31"
"33","testassemblies32"
"34","testassemblies33"
"35","testassemblies34"
"36","testassemblies35"
"37","testassemblies36"
"38","testassemblies37"
"39","testassemblies38"
"40","testassemblies39"
"41","testassemblies40"
"42","testassemblies41"
"43","testassemblies42"
"44","testassemblies43"
"45","testassemblies44"
"46","testassemblies45"
"47","testassemblies46"
"48","testassemblies47"
"49","testassemblies48"
"50","testassemblies49"
"51","testassemblies50"
"52","testassemblies51"
"53","testassemblies52"
"54","testassemblies53"
"55","testassemblies54"
"56","testassemblies55"
"57","testassemblies56"
"58","testassemblies57"
"59","testassemblies58"
"60","testassemblies59"
"61","testassemblies60"
"62","testassemblies61"
"63","testassemblies62"
"64","testassemblies63"
"65","testassemblies64"
"66","testassemblies65"
"67","testassemblies66"
"68","testassemblies67"
"69","testassemblies68"
"70","testassemblies69"
"71","testassemblies70"
"72","testassemblies71"
"73","testassemblies72"
"74","testassemblies73"
"75","testassemblies74"
"76","testassemblies75"
"77","testassemblies76"
"78","testassemblies77"
"79","testassemblies78"
"80","testassemblies79"
"81","testassemblies80"
"82","testassemblies81"
"83","testassemblies82"
"84","testassemblies83"
"85","testassemblies84"
"86","testassemblies85"
"87","testassemblies86"
"88","testassemblies87"
"89","testassemblies88"
"90","testassemblies89"
"91","testassemblies90"
"92","testassemblies91"
"93","testassemblies92"
"94","testassemblies93"
"95","testassemblies94"
"96","testassemblies95"
"97","testassemblies96"
"98","testassemblies97"
"99","testassemblies98"
"100","testassemblies99"
"101","testassemblies100"
"102","testassemblies101"
"103","testassemblies102"
"104","testassemblies103"
"105","testassemblies104"
"106","testassemblies105"
"107","testassemblies106"
"108","testassemblies107"
"109","testassemblies108"
"110","testassemblies109"
"111","testassemblies110"
"112","testassemblies111"
"113","testassemblies112"
"114","testassemblies113"
"115","testassemblies114"
"116","testassemblies115"
"117","testassemblies116"
"118","testassemblies117"
"119","testassemblies118"
"120","testassemblies119"
"121","testassemblies120"
"122","testassemblies121"
"123","testassemblies122"
"124","testassemblies123"
"125","testassemblies124"
"126","testassemblies125"
"127","testassemblies126"
"128","testassemblies127"
"129","testassemblies128"
"130","testassemblies129"
"131","testassemblies130"
"132","testassemblies131"
"133","testassemblies132"
"134","testassemblies133"
"135","testassemblies134"
"136","testassemblies135"
"137","testassemblies136"
"138","testassemblies137"
"139","testassemblies138"
"140","testassemblies139"
"141","testassemblies140"
"142","testassemblies141"
"143","testassemblies142"
"144","testassemblies143"
"145","testassemblies144"
"146","testassemblies145"
"147","testassemblies146"
"148","testassemblies147"
"149","testassemblies148"
"150","testassemblies149"
"151","testassemblies150"
"152","testassemblies151"
"153","testassemblies152"
"154","testassemblies153"
"155","testassemblies154"
"156","testassemblies155"
"157","testassemblies156"
"158","testassemblies157"
"159","testassemblies158"
"160","testassemblies159"
"161","testassemblies160"
"162","testassemblies161"
"163","testassemblies162"
"164","testassemblies163"
"165","testassemblies164"
"166","testassemblies165"
"167","testassemblies166"
"168","testassemblies167"
"169","testassemblies168"
"170","testassemblies169"
"171","testassemblies170"
"172","testassemblies171"
"173","testassemblies172"
"174","testassemblies173"
"175","testassemblies174"
"176","testassemblies175"
"177","testassemblies176"
"178","testassemblies177"
"179","testassemblies178"
"180","testassemblies179"
"181","testassemblies180"
"182","testassemblies181"
"183","testassemblies182"
