"","setdiff(Orig$V1, remain$V1)"
"1","testassemblies0"
"2","testassemblies1"
"3","testassemblies2"
"4","testassemblies3"
"5","testassemblies4"
"6","testassemblies9"
"7","testassemblies10"
"8","testassemblies11"
"9","testassemblies12"
"10","testassemblies13"
"11","testassemblies14"
"12","testassemblies15"
"13","testassemblies16"
"14","testassemblies17"
"15","testassemblies18"
"16","testassemblies19"
"17","testassemblies20"
"18","testassemblies21"
"19","testassemblies22"
"20","testassemblies23"
"21","testassemblies80"
"22","testassemblies81"
"23","testassemblies82"
"24","testassemblies83"
"25","testassemblies84"
"26","testassemblies85"
"27","testassemblies86"
"28","testassemblies87"
"29","testassemblies89"
"30","testassemblies90"
"31","testassemblies91"
"32","testassemblies92"
"33","testassemblies93"
"34","testassemblies96"
"35","testassemblies97"
"36","testassemblies100"
"37","testassemblies107"
"38","testassemblies156"
"39","testassemblies157"
"40","testassemblies165"
"41","testassemblies170"
"42","testassemblies198"
"43","testassemblies202"
"44","testassemblies203"
"45","testassemblies224"
"46","testassemblies255"
"47","testassemblies256"
"48","testassemblies257"
"49","testassemblies259"
"50","testassemblies260"
"51","testassemblies261"
"52","testassemblies262"
"53","testassemblies263"
"54","testassemblies286"
"55","testassemblies331"
"56","testassemblies335"
"57","testassemblies336"
"58","testassemblies337"
"59","testassemblies339"
"60","testassemblies340"
"61","testassemblies351"
"62","testassemblies375"
"63","testassemblies388"
"64","testassemblies389"
"65","testassemblies395"
"66","testassemblies401"
"67","testassemblies402"
"68","testassemblies407"
"69","testassemblies411"
"70","testassemblies412"
"71","testassemblies419"
"72","testassemblies420"
"73","testassemblies421"
"74","testassemblies427"
"75","testassemblies431"
"76","testassemblies432"
"77","testassemblies433"
"78","testassemblies434"
"79","testassemblies435"
"80","testassemblies436"
"81","testassemblies438"
"82","testassemblies443"
"83","testassemblies445"
"84","testassemblies446"
"85","testassemblies447"
"86","testassemblies468"
"87","testassemblies469"
"88","testassemblies483"
"89","testassemblies484"
"90","testassemblies504"
"91","testassemblies505"
"92","testassemblies509"
"93","testassemblies510"
"94","testassemblies511"
"95","testassemblies512"
"96","testassemblies541"
