"","setdiff(Orig$V1, remain$V1)"
"1","testassemblies0"
"2","testassemblies1"
"3","testassemblies2"
"4","testassemblies3"
"5","testassemblies4"
"6","testassemblies5"
"7","testassemblies6"
"8","testassemblies7"
"9","testassemblies8"
"10","testassemblies9"
"11","testassemblies10"
"12","testassemblies11"
"13","testassemblies12"
"14","testassemblies13"
"15","testassemblies15"
"16","testassemblies18"
"17","testassemblies19"
"18","testassemblies20"
"19","testassemblies21"
"20","testassemblies22"
"21","testassemblies23"
"22","testassemblies36"
"23","testassemblies37"
"24","testassemblies45"
"25","testassemblies46"
"26","testassemblies49"
"27","testassemblies50"
"28","testassemblies51"
"29","testassemblies52"
"30","testassemblies53"
"31","testassemblies54"
"32","testassemblies55"
"33","testassemblies56"
"34","testassemblies57"
"35","testassemblies58"
"36","testassemblies59"
"37","testassemblies60"
"38","testassemblies61"
"39","testassemblies62"
"40","testassemblies63"
"41","testassemblies64"
"42","testassemblies65"
"43","testassemblies66"
"44","testassemblies67"
"45","testassemblies68"
"46","testassemblies69"
"47","testassemblies70"
"48","testassemblies71"
"49","testassemblies72"
"50","testassemblies75"
"51","testassemblies76"
"52","testassemblies77"
"53","testassemblies78"
"54","testassemblies79"
"55","testassemblies80"
"56","testassemblies81"
"57","testassemblies82"
"58","testassemblies83"
"59","testassemblies84"
"60","testassemblies85"
"61","testassemblies86"
"62","testassemblies87"
"63","testassemblies88"
"64","testassemblies89"
"65","testassemblies90"
"66","testassemblies91"
"67","testassemblies92"
"68","testassemblies93"
"69","testassemblies94"
"70","testassemblies95"
"71","testassemblies96"
"72","testassemblies97"
"73","testassemblies98"
"74","testassemblies99"
"75","testassemblies100"
"76","testassemblies101"
"77","testassemblies102"
"78","testassemblies103"
"79","testassemblies105"
"80","testassemblies107"
"81","testassemblies108"
"82","testassemblies109"
"83","testassemblies112"
"84","testassemblies113"
"85","testassemblies114"
"86","testassemblies115"
"87","testassemblies116"
"88","testassemblies117"
"89","testassemblies124"
"90","testassemblies127"
"91","testassemblies128"
"92","testassemblies129"
"93","testassemblies130"
"94","testassemblies131"
"95","testassemblies132"
"96","testassemblies133"
"97","testassemblies134"
"98","testassemblies135"
"99","testassemblies137"
"100","testassemblies138"
"101","testassemblies139"
"102","testassemblies143"
"103","testassemblies144"
"104","testassemblies145"
"105","testassemblies146"
"106","testassemblies147"
"107","testassemblies153"
"108","testassemblies154"
"109","testassemblies155"
"110","testassemblies160"
"111","testassemblies161"
"112","testassemblies162"
"113","testassemblies163"
"114","testassemblies165"
"115","testassemblies166"
"116","testassemblies168"
"117","testassemblies172"
"118","testassemblies179"
"119","testassemblies180"
"120","testassemblies181"
"121","testassemblies183"
"122","testassemblies188"
"123","testassemblies189"
"124","testassemblies191"
"125","testassemblies192"
"126","testassemblies194"
"127","testassemblies195"
"128","testassemblies219"
"129","testassemblies231"
"130","testassemblies232"
"131","testassemblies233"
"132","testassemblies238"
"133","testassemblies249"
"134","testassemblies252"
"135","testassemblies253"
"136","testassemblies254"
"137","testassemblies255"
"138","testassemblies256"
"139","testassemblies257"
"140","testassemblies258"
"141","testassemblies259"
"142","testassemblies260"
"143","testassemblies261"
"144","testassemblies273"
"145","testassemblies275"
"146","testassemblies276"
"147","testassemblies277"
"148","testassemblies291"
"149","testassemblies294"
"150","testassemblies304"
"151","testassemblies318"
"152","testassemblies324"
"153","testassemblies325"
"154","testassemblies328"
"155","testassemblies342"
"156","testassemblies351"
"157","testassemblies359"
"158","testassemblies361"
"159","testassemblies366"
"160","testassemblies367"
"161","testassemblies372"
"162","testassemblies387"
"163","testassemblies392"
"164","testassemblies393"
"165","testassemblies394"
"166","testassemblies395"
"167","testassemblies398"
"168","testassemblies409"
"169","testassemblies410"
"170","testassemblies411"
"171","testassemblies413"
"172","testassemblies414"
"173","testassemblies424"
"174","testassemblies437"
"175","testassemblies446"
"176","testassemblies447"
"177","testassemblies448"
"178","testassemblies449"
"179","testassemblies470"
"180","testassemblies489"
"181","testassemblies490"
"182","testassemblies491"
"183","testassemblies493"
