"","setdiff(Orig$V1, remain$V1)"
"1","testassemblies1"
"2","testassemblies2"
"3","testassemblies3"
"4","testassemblies4"
"5","testassemblies5"
"6","testassemblies6"
"7","testassemblies7"
"8","testassemblies20"
"9","testassemblies21"
"10","testassemblies22"
"11","testassemblies23"
"12","testassemblies24"
"13","testassemblies25"
"14","testassemblies26"
"15","testassemblies27"
"16","testassemblies28"
"17","testassemblies29"
"18","testassemblies30"
"19","testassemblies31"
"20","testassemblies32"
"21","testassemblies35"
"22","testassemblies36"
"23","testassemblies37"
"24","testassemblies38"
"25","testassemblies39"
"26","testassemblies40"
"27","testassemblies41"
"28","testassemblies42"
"29","testassemblies47"
"30","testassemblies48"
"31","testassemblies49"
"32","testassemblies53"
"33","testassemblies55"
"34","testassemblies57"
"35","testassemblies68"
"36","testassemblies69"
"37","testassemblies70"
"38","testassemblies74"
"39","testassemblies76"
"40","testassemblies78"
"41","testassemblies79"
"42","testassemblies80"
"43","testassemblies81"
"44","testassemblies94"
"45","testassemblies95"
"46","testassemblies102"
"47","testassemblies103"
"48","testassemblies104"
"49","testassemblies105"
"50","testassemblies106"
"51","testassemblies107"
"52","testassemblies108"
"53","testassemblies109"
"54","testassemblies110"
"55","testassemblies111"
"56","testassemblies112"
"57","testassemblies113"
"58","testassemblies114"
"59","testassemblies116"
"60","testassemblies117"
"61","testassemblies118"
"62","testassemblies120"
"63","testassemblies121"
"64","testassemblies122"
"65","testassemblies124"
"66","testassemblies126"
"67","testassemblies128"
"68","testassemblies129"
"69","testassemblies130"
"70","testassemblies134"
"71","testassemblies136"
"72","testassemblies137"
"73","testassemblies139"
"74","testassemblies140"
"75","testassemblies142"
"76","testassemblies144"
"77","testassemblies145"
"78","testassemblies147"
"79","testassemblies148"
"80","testassemblies149"
"81","testassemblies150"
"82","testassemblies151"
"83","testassemblies152"
"84","testassemblies154"
"85","testassemblies155"
"86","testassemblies159"
"87","testassemblies162"
"88","testassemblies164"
"89","testassemblies165"
"90","testassemblies167"
"91","testassemblies168"
"92","testassemblies169"
"93","testassemblies170"
"94","testassemblies171"
"95","testassemblies175"
"96","testassemblies178"
