"","setdiff(Orig$V1, remain$V1)"
"1","testassemblies0"
"2","testassemblies1"
"3","testassemblies2"
"4","testassemblies3"
"5","testassemblies4"
"6","testassemblies5"
"7","testassemblies6"
"8","testassemblies7"
"9","testassemblies8"
"10","testassemblies9"
"11","testassemblies10"
"12","testassemblies11"
"13","testassemblies12"
"14","testassemblies13"
"15","testassemblies14"
"16","testassemblies17"
"17","testassemblies18"
"18","testassemblies19"
"19","testassemblies20"
"20","testassemblies21"
"21","testassemblies22"
"22","testassemblies23"
"23","testassemblies24"
"24","testassemblies25"
"25","testassemblies26"
"26","testassemblies27"
"27","testassemblies29"
"28","testassemblies30"
"29","testassemblies31"
"30","testassemblies41"
"31","testassemblies42"
"32","testassemblies43"
"33","testassemblies44"
"34","testassemblies57"
"35","testassemblies59"
"36","testassemblies60"
"37","testassemblies61"
"38","testassemblies62"
"39","testassemblies63"
"40","testassemblies64"
"41","testassemblies65"
"42","testassemblies66"
"43","testassemblies67"
"44","testassemblies68"
"45","testassemblies69"
"46","testassemblies70"
"47","testassemblies71"
"48","testassemblies72"
"49","testassemblies73"
"50","testassemblies74"
"51","testassemblies75"
"52","testassemblies76"
"53","testassemblies77"
"54","testassemblies78"
"55","testassemblies79"
"56","testassemblies80"
"57","testassemblies83"
"58","testassemblies84"
"59","testassemblies85"
"60","testassemblies86"
"61","testassemblies97"
"62","testassemblies99"
"63","testassemblies114"
"64","testassemblies183"
"65","testassemblies202"
"66","testassemblies234"
"67","testassemblies235"
"68","testassemblies238"
"69","testassemblies259"
"70","testassemblies279"
"71","testassemblies281"
"72","testassemblies282"
"73","testassemblies283"
"74","testassemblies295"
"75","testassemblies326"
"76","testassemblies327"
"77","testassemblies340"
"78","testassemblies373"
"79","testassemblies382"
"80","testassemblies383"
"81","testassemblies384"
"82","testassemblies398"
"83","testassemblies399"
"84","testassemblies419"
"85","testassemblies436"
"86","testassemblies439"
"87","testassemblies450"
"88","testassemblies451"
"89","testassemblies452"
"90","testassemblies453"
"91","testassemblies464"
"92","testassemblies465"
"93","testassemblies489"
"94","testassemblies490"
"95","testassemblies492"
"96","testassemblies493"
"97","testassemblies495"
"98","testassemblies496"
"99","testassemblies497"
"100","testassemblies502"
"101","testassemblies603"
"102","testassemblies714"
"103","testassemblies715"
"104","testassemblies723"
"105","testassemblies767"
"106","testassemblies768"
"107","testassemblies769"
"108","testassemblies771"
"109","testassemblies772"
"110","testassemblies773"
"111","testassemblies774"
"112","testassemblies788"
"113","testassemblies789"
"114","testassemblies794"
"115","testassemblies795"
"116","testassemblies796"
"117","testassemblies797"
"118","testassemblies798"
"119","testassemblies930"
"120","testassemblies931"
"121","testassemblies932"
"122","testassemblies1007"
"123","testassemblies1009"
"124","testassemblies1010"
"125","testassemblies1011"
"126","testassemblies1040"
"127","testassemblies1042"
"128","testassemblies1044"
"129","testassemblies1045"
"130","testassemblies1054"
"131","testassemblies1056"
"132","testassemblies1057"
"133","testassemblies1058"
"134","testassemblies1059"
"135","testassemblies1060"
"136","testassemblies1068"
"137","testassemblies1069"
"138","testassemblies1070"
"139","testassemblies1072"
"140","testassemblies1073"
"141","testassemblies1082"
"142","testassemblies1098"
"143","testassemblies1099"
"144","testassemblies1100"
"145","testassemblies1103"
"146","testassemblies1111"
"147","testassemblies1112"
"148","testassemblies1113"
"149","testassemblies1114"
"150","testassemblies1115"
"151","testassemblies1120"
"152","testassemblies1121"
"153","testassemblies1122"
"154","testassemblies1128"
"155","testassemblies1129"
"156","testassemblies1131"
"157","testassemblies1132"
"158","testassemblies1133"
"159","testassemblies1135"
"160","testassemblies1136"
"161","testassemblies1137"
"162","testassemblies1138"
"163","testassemblies1139"
"164","testassemblies1140"
"165","testassemblies1141"
"166","testassemblies1144"
"167","testassemblies1147"
"168","testassemblies1157"
"169","testassemblies1158"
"170","testassemblies1159"
"171","testassemblies1160"
"172","testassemblies1161"
"173","testassemblies1162"
"174","testassemblies1163"
"175","testassemblies1164"
"176","testassemblies1165"
"177","testassemblies1166"
"178","testassemblies1170"
"179","testassemblies1171"
"180","testassemblies1172"
"181","testassemblies1174"
"182","testassemblies1177"
"183","testassemblies1178"
"184","testassemblies1179"
"185","testassemblies1180"
"186","testassemblies1185"
"187","testassemblies1186"
"188","testassemblies1187"
"189","testassemblies1189"
"190","testassemblies1190"
"191","testassemblies1192"
"192","testassemblies1193"
"193","testassemblies1196"
"194","testassemblies1197"
"195","testassemblies1198"
"196","testassemblies1200"
"197","testassemblies1202"
"198","testassemblies1203"
"199","testassemblies1204"
"200","testassemblies1205"
"201","testassemblies1206"
"202","testassemblies1207"
"203","testassemblies1208"
"204","testassemblies1209"
"205","testassemblies1210"
"206","testassemblies1211"
"207","testassemblies1212"
