"","setdiff(Orig$V1, remain$V1)"
"1","testassemblies0"
"2","testassemblies1"
"3","testassemblies2"
"4","testassemblies3"
"5","testassemblies4"
"6","testassemblies5"
"7","testassemblies6"
"8","testassemblies7"
"9","testassemblies8"
"10","testassemblies9"
"11","testassemblies10"
"12","testassemblies11"
"13","testassemblies12"
"14","testassemblies13"
"15","testassemblies14"
"16","testassemblies15"
"17","testassemblies16"
"18","testassemblies17"
"19","testassemblies18"
"20","testassemblies19"
"21","testassemblies20"
"22","testassemblies21"
"23","testassemblies22"
"24","testassemblies23"
"25","testassemblies24"
"26","testassemblies25"
"27","testassemblies26"
"28","testassemblies27"
"29","testassemblies28"
"30","testassemblies29"
"31","testassemblies30"
"32","testassemblies31"
"33","testassemblies32"
"34","testassemblies33"
"35","testassemblies34"
"36","testassemblies35"
"37","testassemblies36"
"38","testassemblies37"
"39","testassemblies38"
"40","testassemblies39"
"41","testassemblies40"
"42","testassemblies44"
"43","testassemblies45"
"44","testassemblies46"
"45","testassemblies47"
"46","testassemblies48"
"47","testassemblies54"
"48","testassemblies55"
"49","testassemblies56"
"50","testassemblies57"
"51","testassemblies58"
"52","testassemblies59"
"53","testassemblies60"
"54","testassemblies61"
"55","testassemblies62"
"56","testassemblies63"
"57","testassemblies64"
"58","testassemblies65"
"59","testassemblies66"
"60","testassemblies67"
"61","testassemblies68"
"62","testassemblies69"
"63","testassemblies70"
"64","testassemblies71"
"65","testassemblies72"
"66","testassemblies73"
"67","testassemblies74"
"68","testassemblies75"
"69","testassemblies76"
"70","testassemblies77"
"71","testassemblies78"
"72","testassemblies79"
"73","testassemblies80"
"74","testassemblies81"
"75","testassemblies82"
"76","testassemblies83"
"77","testassemblies84"
"78","testassemblies85"
"79","testassemblies86"
"80","testassemblies87"
"81","testassemblies88"
"82","testassemblies89"
"83","testassemblies90"
"84","testassemblies91"
"85","testassemblies92"
"86","testassemblies93"
"87","testassemblies94"
"88","testassemblies95"
"89","testassemblies100"
"90","testassemblies101"
"91","testassemblies102"
"92","testassemblies103"
"93","testassemblies104"
"94","testassemblies105"
"95","testassemblies106"
"96","testassemblies107"
"97","testassemblies108"
"98","testassemblies109"
"99","testassemblies110"
"100","testassemblies111"
"101","testassemblies112"
"102","testassemblies113"
"103","testassemblies114"
"104","testassemblies115"
"105","testassemblies116"
"106","testassemblies117"
"107","testassemblies118"
"108","testassemblies119"
"109","testassemblies120"
"110","testassemblies121"
"111","testassemblies123"
"112","testassemblies129"
"113","testassemblies130"
"114","testassemblies131"
"115","testassemblies132"
"116","testassemblies133"
"117","testassemblies134"
"118","testassemblies135"
"119","testassemblies136"
"120","testassemblies137"
"121","testassemblies138"
"122","testassemblies139"
"123","testassemblies140"
"124","testassemblies141"
"125","testassemblies142"
"126","testassemblies143"
"127","testassemblies144"
"128","testassemblies145"
"129","testassemblies146"
"130","testassemblies147"
"131","testassemblies148"
"132","testassemblies149"
"133","testassemblies150"
"134","testassemblies151"
"135","testassemblies152"
"136","testassemblies153"
"137","testassemblies154"
"138","testassemblies155"
"139","testassemblies156"
"140","testassemblies157"
"141","testassemblies158"
"142","testassemblies159"
"143","testassemblies160"
"144","testassemblies161"
"145","testassemblies162"
"146","testassemblies163"
"147","testassemblies164"
"148","testassemblies165"
"149","testassemblies166"
"150","testassemblies167"
"151","testassemblies168"
"152","testassemblies169"
"153","testassemblies170"
"154","testassemblies171"
"155","testassemblies172"
"156","testassemblies173"
"157","testassemblies174"
"158","testassemblies177"
"159","testassemblies178"
"160","testassemblies179"
"161","testassemblies180"
"162","testassemblies181"
"163","testassemblies182"
"164","testassemblies183"
"165","testassemblies184"
"166","testassemblies185"
"167","testassemblies186"
"168","testassemblies187"
"169","testassemblies188"
"170","testassemblies189"
"171","testassemblies190"
"172","testassemblies191"
"173","testassemblies192"
"174","testassemblies193"
"175","testassemblies194"
"176","testassemblies195"
"177","testassemblies196"
"178","testassemblies197"
"179","testassemblies198"
"180","testassemblies199"
"181","testassemblies200"
"182","testassemblies201"
"183","testassemblies202"
