"","setdiff(Orig$V1, remain$V1)"
"1","testassemblies0"
"2","testassemblies1"
"3","testassemblies2"
"4","testassemblies3"
"5","testassemblies4"
"6","testassemblies5"
"7","testassemblies6"
"8","testassemblies8"
"9","testassemblies9"
"10","testassemblies10"
"11","testassemblies11"
"12","testassemblies12"
"13","testassemblies13"
"14","testassemblies14"
"15","testassemblies16"
"16","testassemblies17"
"17","testassemblies18"
"18","testassemblies19"
"19","testassemblies20"
"20","testassemblies24"
"21","testassemblies25"
"22","testassemblies27"
"23","testassemblies29"
"24","testassemblies30"
"25","testassemblies31"
"26","testassemblies32"
"27","testassemblies33"
"28","testassemblies34"
"29","testassemblies35"
"30","testassemblies36"
"31","testassemblies43"
"32","testassemblies44"
"33","testassemblies46"
"34","testassemblies48"
"35","testassemblies49"
"36","testassemblies52"
"37","testassemblies53"
"38","testassemblies54"
"39","testassemblies55"
"40","testassemblies57"
"41","testassemblies58"
"42","testassemblies60"
"43","testassemblies61"
"44","testassemblies62"
"45","testassemblies63"
"46","testassemblies64"
"47","testassemblies65"
"48","testassemblies66"
"49","testassemblies68"
"50","testassemblies69"
"51","testassemblies81"
"52","testassemblies82"
"53","testassemblies83"
"54","testassemblies85"
"55","testassemblies87"
"56","testassemblies88"
"57","testassemblies89"
"58","testassemblies90"
"59","testassemblies93"
"60","testassemblies94"
"61","testassemblies95"
"62","testassemblies96"
"63","testassemblies98"
"64","testassemblies117"
"65","testassemblies118"
"66","testassemblies119"
"67","testassemblies120"
"68","testassemblies121"
"69","testassemblies124"
"70","testassemblies125"
"71","testassemblies126"
"72","testassemblies130"
"73","testassemblies131"
"74","testassemblies132"
"75","testassemblies139"
"76","testassemblies146"
"77","testassemblies147"
"78","testassemblies153"
"79","testassemblies154"
"80","testassemblies155"
"81","testassemblies158"
"82","testassemblies159"
"83","testassemblies160"
"84","testassemblies171"
"85","testassemblies174"
"86","testassemblies175"
"87","testassemblies180"
"88","testassemblies187"
"89","testassemblies188"
"90","testassemblies189"
"91","testassemblies190"
"92","testassemblies191"
"93","testassemblies193"
"94","testassemblies197"
"95","testassemblies200"
"96","testassemblies201"
"97","testassemblies206"
"98","testassemblies207"
"99","testassemblies208"
"100","testassemblies213"
"101","testassemblies217"
"102","testassemblies222"
"103","testassemblies224"
"104","testassemblies226"
"105","testassemblies227"
"106","testassemblies228"
"107","testassemblies232"
"108","testassemblies234"
"109","testassemblies235"
"110","testassemblies236"
"111","testassemblies238"
"112","testassemblies239"
"113","testassemblies240"
"114","testassemblies242"
"115","testassemblies243"
"116","testassemblies246"
"117","testassemblies249"
"118","testassemblies250"
"119","testassemblies251"
"120","testassemblies258"
"121","testassemblies259"
"122","testassemblies262"
"123","testassemblies269"
"124","testassemblies270"
"125","testassemblies277"
"126","testassemblies280"
"127","testassemblies281"
"128","testassemblies286"
"129","testassemblies287"
"130","testassemblies288"
"131","testassemblies289"
"132","testassemblies291"
"133","testassemblies292"
"134","testassemblies293"
"135","testassemblies297"
"136","testassemblies298"
"137","testassemblies304"
"138","testassemblies305"
"139","testassemblies306"
"140","testassemblies308"
"141","testassemblies309"
"142","testassemblies310"
"143","testassemblies311"
"144","testassemblies312"
"145","testassemblies314"
"146","testassemblies315"
"147","testassemblies322"
"148","testassemblies323"
"149","testassemblies324"
"150","testassemblies325"
"151","testassemblies331"
"152","testassemblies332"
"153","testassemblies334"
"154","testassemblies337"
"155","testassemblies338"
"156","testassemblies339"
"157","testassemblies340"
"158","testassemblies342"
"159","testassemblies343"
"160","testassemblies346"
"161","testassemblies347"
"162","testassemblies348"
"163","testassemblies349"
"164","testassemblies352"
"165","testassemblies357"
"166","testassemblies358"
"167","testassemblies359"
"168","testassemblies360"
"169","testassemblies361"
"170","testassemblies362"
"171","testassemblies365"
"172","testassemblies366"
"173","testassemblies368"
"174","testassemblies370"
"175","testassemblies371"
"176","testassemblies372"
"177","testassemblies373"
"178","testassemblies378"
"179","testassemblies381"
"180","testassemblies383"
"181","testassemblies384"
"182","testassemblies387"
"183","testassemblies389"
